Dept_Code,Department_Name,SubDept_Code,SubDepartment_Name,Prog_Code,Program_Name,Program_Priority,Source_Fund_Code,Source_Fund_Name,Account_Code,Account_Name,Appropriation,Fiscal_Year,Expense_Type
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,305,Subventions and Grants (Sch. 29),1121,Benefits Hiring Hall Construction,189442,2014,Special
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,51V,ARRA Justice Assistance Grant Fund (Sch. 29),1121,Benefits Hiring Hall Construction,191637,2014,Special
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,347,Street Lighting Maintenance Assessment Fund (Sch. 19),1010,Salaries General,192023,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,2130,Travel,199794,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,43P,Landscaping and Lt Asses Series 2000 (Sch. 29),1100,Hiring Hall Salaries,2.00E+05,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,760,Sewer Operations & Maintenance Fund (Sch. 14),1010,Salaries General,200908,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,26K,MICLA Revenue Bonds 2010C Construction Fund (Sch. 29),1101,Hiring Hall Construction,208112,2014,Salaries
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),1070,"Salaries, As-Needed",212796,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,540,Proposition C Anti-Gridlock Transit Fund (Sch. 27),3180,Construction Materials,235970,2014,Expenses
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,50D,Multi-Family Bulky Item Fee Fund (Sch. 50),1010,Salaries General,244157,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,163,City Buildings Fire Sprinkler GOB (Sch. 29) ,1014,Salaries  Construction Projects,244342,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,173,GOB Series 93A Police Facilities Construction Fund (Sch. 29),1100,Hiring Hall Salaries,246652,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,511,Stormwater Pollution Abatement Fund (Sch. 7),1010,Salaries General,249257,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,206,Special Gas Tax Improvement Fund (Sch. 5),4500,Laboratory Testing Expense,253434,2014,Expenses
40,General Services,40LVL5,General Services,4002,Building Maintenance,A Well Run City,480,Arts and Cultural Facilities & Services Fund (Sch. 24),1100,Hiring Hall Salaries,260920,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,6020,Operating Supplies ,283820,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,26B,MICLA Series 2006A Public Works Construction (Sch. 29),1100,Hiring Hall Salaries,289477,2014,Salaries
40,General Services,40LVL5,General Services,4007,Emergency Management and Special Services,A Safe City,100,General Fund,1010,Salaries General,304803,2014,Salaries
40,General Services,40LVL5,General Services,4011,Supply Management,A Well Run City,347,Street Lighting Maintenance Assessment Fund (Sch. 19),1010,Salaries General,322238,2014,Salaries
40,General Services,40LVL5,General Services,4050,General Administration and Support,A Well Run City,100,General Fund,6010,Office and Administrative ,324942,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,16K,GOB Series 2006A Animal Shelter Construction Fund (Sch. 29),1014,Salaries  Construction Projects,325361,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,26K,MICLA Revenue Bonds 2010C Construction Fund (Sch. 29),1100,Hiring Hall Salaries,331994,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,55J,Low and Moderate Income Housing Fund (Sch. 29),1100,Hiring Hall Salaries,354185,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,172,GOB Series 1993A Fire Safety Construction Fund (Sch. 29),1014,Salaries  Construction Projects,375073,2014,Salaries
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,100,General Fund,3040,Contractual Services,384458,2014,Expenses
40,General Services,40LVL5,General Services,4004,Real Estate Services,A Well Run City,342,Telecommunications Development Account (Sch. 20),6030,Leasing,391700,2014,Expenses
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",411647,2014,Salaries
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,100,General Fund,1070,"Salaries, As-Needed",420965,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,540,Proposition C Anti-Gridlock Transit Fund (Sch. 27),1010,Salaries General,437319,2014,Salaries
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),1010,Salaries General,460499,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,51V,ARRA Justice Assistance Grant Fund (Sch. 29),1101,Hiring Hall Construction,486440,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,298,MICLA Lease Revenue Commercial Paper (Sch. 29),1101,Hiring Hall Construction,5.00E+05,2014,Salaries
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),1010,Salaries General,509929,2014,Salaries
40,General Services,40LVL5,General Services,4050,General Administration and Support,A Well Run City,100,General Fund,1070,"Salaries, As-Needed",568762,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,16A,GOB Series 2004A 911/P/F Construction Fund (Sch. 29),1014,Salaries  Construction Projects,573000,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,51V,ARRA Justice Assistance Grant Fund (Sch. 29),1014,Salaries  Construction Projects,594300,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,760,Sewer Operations & Maintenance Fund (Sch. 14),3090,Field Equipment Expense,635250,2014,Expenses
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,3170,Custodial Supplies,644913,2014,Expenses
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,525,City Employees Ridesharing Fund (Sch. 28),3230,Petroleum Products,645067,2014,Expenses
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,51Q,Measure R Local Return Fund (Sch. 49),1090,Overtime General,652555,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,190,GOB Series 95A Seismic Improvement Recreation (Sch. 29),1014,Salaries  Construction Projects,689357,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,51V,ARRA Justice Assistance Grant Fund (Sch. 29),3180,Construction Materials,713600,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,424,Community Development Trust Fund (Sch. 8),1121,Benefits Hiring Hall Construction,759274,2014,Special
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,363,Special Parking Revenue Fund (Sch. 11),1010,Salaries General,765722,2014,Salaries
40,General Services,40LVL5,General Services,4012,Mail Services,A Well Run City,100,General Fund,1010,Salaries General,854000,2014,Salaries
40,General Services,40LVL5,General Services,4005,Parking Services,A Well Run City,363,Special Parking Revenue Fund (Sch. 11),1070,"Salaries, As-Needed",942562,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,508,Solid Waste Resources Revenue Fund (Sch. 2),1090,Overtime General,979000,2014,Salaries
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,100,General Fund,1010,Salaries General,1065399,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,156,GOB Series Elec 89 Fire Construction Fund (Sch. 29),1014,Salaries  Construction Projects,1074289,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,761,Sewer Capital Fund (Sch. 14),1010,Salaries General,1091651,2014,Salaries
40,General Services,40LVL5,General Services,4002,Building Maintenance,A Well Run City,100,General Fund,1070,"Salaries, As-Needed",1110767,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,100,General Fund,1070,"Salaries, As-Needed",1139234,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,760,Sewer Operations & Maintenance Fund (Sch. 14),1010,Salaries General,1247111,2014,Salaries
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,760,Sewer Operations & Maintenance Fund (Sch. 14),3230,Petroleum Products,1280001,2014,Expenses
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,51Q,Measure R Local Return Fund (Sch. 49),1010,Salaries General,1317956,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,100,General Fund,1010,Salaries General,1328168,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,1090,Overtime General,1427207,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,100,General Fund,1121,Benefits Hiring Hall Construction,1465506,2014,Special
40,General Services,40LVL5,General Services,4004,Real Estate Services,A Well Run City,48R,Building and Safety Building Permit Fund (Sch. 40),3040,Contractual Services,1501510,2014,Expenses
40,General Services,40LVL5,General Services,4004,Real Estate Services,A Well Run City,100,General Fund,1010,Salaries General,1572128,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,41A,Street Damage Restoration Fee Fund (Sch. 47),3090,Field Equipment Expense,1586000,2014,Expenses
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,41A,Street Damage Restoration Fee Fund (Sch. 47),1010,Salaries General,1623276,2014,Salaries
40,General Services,40LVL5,General Services,4011,Supply Management,A Well Run City,508,Solid Waste Resources Revenue Fund (Sch. 2),1010,Salaries General,1717440,2014,Salaries
40,General Services,40LVL5,General Services,4010,Standards and Testing Services,A Well Run City,206,Special Gas Tax Improvement Fund (Sch. 5),1010,Salaries General,1917631,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,43K,Proposition K Projects Fund (Sch. 29),1100,Hiring Hall Salaries,2019237,2014,Salaries
40,General Services,40LVL5,General Services,4011,Supply Management,A Well Run City,760,Sewer Operations & Maintenance Fund (Sch. 14),1010,Salaries General,2362602,2014,Salaries
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,41A,Street Damage Restoration Fee Fund (Sch. 47),3230,Petroleum Products,2436000,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,26M,MICLA Lease Obligations 2011A Construction Fund (Sch. 29),1100,Hiring Hall Salaries,2613136,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,3040,Contractual Services,2875378,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,100,General Fund,1120,Benefits Hiring Hall,2916644,2014,Salaries
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,298,MICLA Lease Revenue Commercial Paper (Sch. 29),3180,Construction Materials,3199833,2014,Expenses
40,General Services,40LVL5,General Services,4004,Real Estate Services,A Well Run City,100,General Fund,3330,Utilities Expense Private Company,3574945,2014,Expenses
40,General Services,40LVL5,General Services,4012,Mail Services,A Well Run City,100,General Fund,9130,Mail Services,3822388,2014,Special
40,General Services,40LVL5,General Services,4050,General Administration and Support,A Well Run City,100,General Fund,1010,Salaries General,3866406,2014,Salaries
40,General Services,40LVL5,General Services,4002,Building Maintenance,A Well Run City,100,General Fund,3040,Contractual Services,4136995,2014,Expenses
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,4456006,2014,Expenses
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,100,General Fund,1101,Hiring Hall Construction,5145323,2014,Salaries
40,General Services,40LVL5,General Services,4002,Building Maintenance,A Well Run City,100,General Fund,3160,Maintenance Materials Supplies & Services,5759953,2014,Special
40,General Services,40LVL5,General Services,4003,Construction Forces,A Well Run City,100,General Fund,3180,Construction Materials,6120939,2014,Expenses
40,General Services,40LVL5,General Services,4050,General Administration and Support,A Well Run City,100,General Fund,3040,Contractual Services,8029742,2014,Expenses
40,General Services,40LVL5,General Services,4011,Supply Management,A Well Run City,100,General Fund,1010,Salaries General,9417327,2014,Salaries
40,General Services,40LVL5,General Services,4002,Building Maintenance,A Well Run City,100,General Fund,1010,Salaries General,10601612,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,508,Solid Waste Resources Revenue Fund (Sch. 2),3090,Field Equipment Expense,11570094,2014,Expenses
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,508,Solid Waste Resources Revenue Fund (Sch. 2),3230,Petroleum Products,11910000,2014,Expenses
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,1010,Salaries General,12018817,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,1010,Salaries General,12704751,2014,Salaries
40,General Services,40LVL5,General Services,4004,Real Estate Services,A Well Run City,100,General Fund,6030,Leasing,15191952,2014,Expenses
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,508,Solid Waste Resources Revenue Fund (Sch. 2),1010,Salaries General,16183551,2014,Salaries
40,General Services,40LVL5,General Services,4008,Fleet Services and Operations,A Well Run City,100,General Fund,3090,Field Equipment Expense,17254430,2014,Expenses
40,General Services,40LVL5,General Services,4009,Fuel and Environmental Compliance,A Livable and Sustainable City,100,General Fund,3230,Petroleum Products,28517221,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,880,Re Domestic Violence Trust Fund (Sch. 29),1010,Salaries General,71,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4306,Multi-family Residential Code Enforcement,A Livable and Sustainable City,50T,Neighborhood Stabilization Program Fund (Sch. 29),1010,Salaries General,331,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,424,Community Development Trust Fund (Sch. 8),2120,Printing and Binding,500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),6020,Operating Supplies ,811,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,424,Community Development Trust Fund (Sch. 8),1090,Overtime General,1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),2120,Printing and Binding,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),1070,"Salaries, As-Needed",1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),6010,Office and Administrative ,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,424,Community Development Trust Fund (Sch. 8),1090,Overtime General,1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),2120,Printing and Binding,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),3310,Transportation,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),1090,Overtime General,1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),2130,Travel,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,424,Community Development Trust Fund (Sch. 8),6010,Office and Administrative ,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),6010,Office and Administrative ,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),2120,Printing and Binding,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),2120,Printing and Binding,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),1070,"Salaries, As-Needed",1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,428,Community Service Block Grant Trust Fund (Sch. 13),1090,Overtime General,1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),3040,Contractual Services,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),6010,Office and Administrative ,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),2120,Printing and Binding,1000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4349,Technology Support,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),1070,"Salaries, As-Needed",1000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4302,Affordable Housing Asset Management,A Livable and Sustainable City,51S,ARRA Energy Efficiency & Conservation (Sch. 29),1010,Salaries General,1194,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),2130,Travel,1200,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),3040,Contractual Services,1500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),2120,Printing and Binding,1500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,428,Community Service Block Grant Trust Fund (Sch. 13),3040,Contractual Services,1500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,428,Community Service Block Grant Trust Fund (Sch. 13),2120,Printing and Binding,1500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4305,Rent Stabilization,A Livable and Sustainable City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,1500,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,50T,Neighborhood Stabilization Program Fund (Sch. 29),1010,Salaries General,1700,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4302,Affordable Housing Asset Management,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),1090,Overtime General,2000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4302,Affordable Housing Asset Management,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),2120,Printing and Binding,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,424,Community Development Trust Fund (Sch. 8),3310,Transportation,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),3310,Transportation,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,424,Community Development Trust Fund (Sch. 8),2130,Travel,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),3040,Contractual Services,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,561,Home Investment Partnership Program Fund (Sch. 9),6010,Office and Administrative ,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),3040,Contractual Services,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),6010,Office and Administrative ,2000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,424,Community Development Trust Fund (Sch. 8),1070,"Salaries, As-Needed",2000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4349,Technology Support,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),1090,Overtime General,2000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),1070,"Salaries, As-Needed",2500,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),1070,"Salaries, As-Needed",2500,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4305,Rent Stabilization,A Livable and Sustainable City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),6010,Office and Administrative ,2500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4349,Technology Support,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,2500,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4349,Technology Support,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),1070,"Salaries, As-Needed",2500,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,725,Convention Center Revenue Fund (Sch. 16),1010,Salaries General,2829,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4349,Technology Support,A Well Run City,50T,Neighborhood Stabilization Program Fund (Sch. 29),1010,Salaries General,2907,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,424,Community Development Trust Fund (Sch. 8),1070,"Salaries, As-Needed",3000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,424,Community Development Trust Fund (Sch. 8),3040,Contractual Services,3000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4311,Monitoring and Technical Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),1070,"Salaries, As-Needed",3000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4305,Rent Stabilization,A Livable and Sustainable City,440,Rent Stabilization Trust Fund (Sch. 23),1090,Overtime General,3000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),3040,Contractual Services,3000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,50T,Neighborhood Stabilization Program Fund (Sch. 29),1010,Salaries General,3609,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4302,Affordable Housing Asset Management,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),3040,Contractual Services,4000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),2130,Travel,4000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),2130,Travel,4000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,561,Home Investment Partnership Program Fund (Sch. 9),1090,Overtime General,4000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4306,Multi-family Residential Code Enforcement,A Livable and Sustainable City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,4000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4307,Code and Rent Compliance,A Livable and Sustainable City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,4010,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),6010,Office and Administrative ,4500,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4309,Administrative Services,A Well Run City,50T,Neighborhood Stabilization Program Fund (Sch. 29),1010,Salaries General,4504,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),3040,Contractual Services,5000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,440,Rent Stabilization Trust Fund (Sch. 23),6010,Office and Administrative ,5000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4308,Executive Management,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),3310,Transportation,5000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),3040,Contractual Services,5000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4301,Finance and Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),3310,Transportation,5000,2014,Expenses
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,424,Community Development Trust Fund (Sch. 8),1090,Overtime General,5000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4350,General Administration and Support,A Well Run City,41M,Systematic Code Enforcement Fee Fund (Sch. 42),1090,Overtime General,5000,2014,Salaries
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,4304,Strategic Planning and Policy Development,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),2120,Printing and Binding,5000,2014,Expenses
