Dept Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Account Code,Account Name,2014-15 Actuals,2015-16 Adopted Budget,2015-16 Estimates,2016-17 Proposed Budget,2016-17 Adopted Budget
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5361,Related Cost Reimb-Others,,431920,64658,111976,111976
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,874734,1897396,1897396
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5168,Reimb Of Prior Year Salary,19,,,,
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5188,Miscellaneous Revenue-Others,7122,,,,
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,77710,,,,
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5346,Related Cost Reimb Fr Grants,15479,,,,
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5355,Work Invest Act Rel Cost,16234,,,,
22,Economic and Workforce Development,2299,Economic Development - Default Program,100,General Fund,5361,Related Cost Reimb-Others,29640,,,,
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4335,Controllers Fee,73756,80000,75000,75000,75000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4336,Payroll Deduction Fee,350937,355000,350000,350000,350000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4339,Miscellaneous Gov'T Services,99396,45000,32000,32000,32000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4348,Duplicate W-2 Fees,4370,7500,,,
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4595,Service To Airports,724068,941082,1336128,1339128,1339128
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4596,Service To Water & Power,573537,906812,970000,790000,970000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,4597,Service To Harbor,431202,579359,370000,340000,370000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5188,Miscellaneous Revenue-Others,,100000,,,
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5301,Reimb From Other Funds,40274,40000,34000,34000,34000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5328,Sewer Cons & Main Related Cost,248319,415392,243500,572679,572679
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,50563,,,
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5337,Prop A Local Transit Rel Cost,36514,49321,49300,50000,50000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5341,Home Invest Prtnrship Rel Cost,21577,21186,34413,22000,22000
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5355,Work Invest Act Rel Cost,16659,44179,114666,,
26,Controller,2601,Accounting and Disbursement of City Funds,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,,117153,117153
26,Controller,2602,Financial Reporting of City and Grant Funds,100,General Fund,4339,Miscellaneous Gov'T Services,340,,500,500,500
26,Controller,2602,Financial Reporting of City and Grant Funds,100,General Fund,4595,Service To Airports,21216,,,,
26,Controller,2602,Financial Reporting of City and Grant Funds,100,General Fund,4596,Service To Water & Power,47828,,,,
26,Controller,2602,Financial Reporting of City and Grant Funds,100,General Fund,4597,Service To Harbor,34746,,,,
26,Controller,2602,Financial Reporting of City and Grant Funds,100,General Fund,5167,Unclaimed Assets Monies,33112,50000,65000,50000,50000
26,Controller,2603,Audits of City Departments and Programs,100,General Fund,4596,Service To Water & Power,437611,,,,
26,Controller,2604,Support of the City's Financial Systems,100,General Fund,4595,Service To Airports,15825,,,,
26,Controller,2604,Support of the City's Financial Systems,100,General Fund,4596,Service To Water & Power,61788,,,,
26,Controller,2604,Support of the City's Financial Systems,100,General Fund,4597,Service To Harbor,227248,,,,
26,Controller,2650,General Administration and Support,100,General Fund,3811,Reimb From Other Agencies,148,,,,
26,Controller,2650,General Administration and Support,100,General Fund,4339,Miscellaneous Gov'T Services,2366,,,,
26,Controller,2650,General Administration and Support,100,General Fund,5170,Research Fee - Heirfinders,1053,1000,1000,1000,1000
28,Council,2801,Legislation and Policy Determination,100,General Fund,4342,Photo Copies,1546,,,,
28,Council,2801,Legislation and Policy Determination,100,General Fund,4595,Service To Airports,90105,88844,90000,90000,90000
28,Council,2801,Legislation and Policy Determination,100,General Fund,4597,Service To Harbor,82428,55000,60000,60000,60000
28,Council,2801,Legislation and Policy Determination,100,General Fund,5102,Donations & Contributions,,,100000,,
28,Council,2801,Legislation and Policy Determination,100,General Fund,5161,Reimbursement Of Expenditures,3735,1000,2000,2000,2000
28,Council,2801,Legislation and Policy Determination,100,General Fund,5172,Phone Calls Reimbursement,1006,250,700,500,500
28,Council,2801,Legislation and Policy Determination,100,General Fund,5188,Miscellaneous Revenue-Others,751081,300000,300000,100000,100000
28,Council,2801,Legislation and Policy Determination,100,General Fund,5319,Reimb Prop F Animal Bond Fund,309,500,500,500,500
28,Council,2801,Legislation and Policy Determination,100,General Fund,5320,Reimb Prop F Fire Bond Fund,617,500,500,500,500
28,Council,2801,Legislation and Policy Determination,100,General Fund,5321,Reimb Prop Q Police/Fire Fund,274,450,450,500,500
28,Council,2801,Legislation and Policy Determination,100,General Fund,5322,Proposition K Funds,33356,33000,33356,33356,49183
28,Council,2801,Legislation and Policy Determination,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,200,,,,
28,Council,2801,Legislation and Policy Determination,100,General Fund,5361,Related Cost Reimb-Others,31944,9500,10200,10200,10200
30,Cultural Affairs,3001,Community Arts,100,General Fund,4473,Admission Fees,87328,40000,40000,40000,40000
30,Cultural Affairs,3001,Community Arts,100,General Fund,4474,Miscellaneous-Cultural Affairs,4935,4000,2000,4000,4000
30,Cultural Affairs,3001,Community Arts,100,General Fund,4475,Instruction Fees,119264,140000,120000,140000,140000
30,Cultural Affairs,3001,Community Arts,100,General Fund,5332,Arts & Cultural Fac Rel Cost,1602122,1982220,1987290,2200299,2200299
30,Cultural Affairs,3002,Marketing and Development,100,General Fund,5332,Arts & Cultural Fac Rel Cost,178013,258550,331215,366717,366717
30,Cultural Affairs,3003,Public Art,100,General Fund,4471,Approval For Applicatn Design,37520,26000,20000,20000,20000
30,Cultural Affairs,3003,Public Art,100,General Fund,4474,Miscellaneous-Cultural Affairs,140,,,,
30,Cultural Affairs,3003,Public Art,100,General Fund,4475,Instruction Fees,200,,,,
30,Cultural Affairs,3003,Public Art,100,General Fund,5332,Arts & Cultural Fac Rel Cost,623047,775651,745234,825112,825112
30,Cultural Affairs,3004,Grants Program,100,General Fund,5332,Arts & Cultural Fac Rel Cost,267550,258550,248411,275037,275037
30,Cultural Affairs,3050,General Administration and Support,100,General Fund,5332,Arts & Cultural Fac Rel Cost,1013850,948020,910841,1008471,1008471
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,4596,Service To Water & Power,25667,,,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5161,Reimbursement Of Expenditures,96847,,,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5301,Reimb From Other Funds,74657,,,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5320,Reimb Prop F Fire Bond Fund,45063,71840,,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5321,Reimb Prop Q Police/Fire Fund,41337,66314,40000,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,101111,,,,
32,Information Technology Agency,3202,Public Safety Communications,100,General Fund,5346,Related Cost Reimb Fr Grants,,,334000,187121,187121
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5328,Sewer Cons & Main Related Cost,23072,53733,53733,55017,55017
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,186948,707111,179000,,
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5339,Telecom Liq Damages Rel Cost,,953657,1106505,1090888,1090888
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,446916,1232812,1428907,990280,990280
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5346,Related Cost Reimb Fr Grants,280058,,,,
32,Information Technology Agency,3203,3-1-1 Operations,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,440378,1168601,1274891,767645,767645
32,Information Technology Agency,3204,Cable Television,100,General Fund,5339,Telecom Liq Damages Rel Cost,1107740,714213,699637,726213,726213
32,Information Technology Agency,3206,Office Systems Support,100,General Fund,4595,Service To Airports,,,33500,,
32,Information Technology Agency,3206,Office Systems Support,100,General Fund,5301,Reimb From Other Funds,1308,,,,
32,Information Technology Agency,3206,Office Systems Support,100,General Fund,5339,Telecom Liq Damages Rel Cost,167504,461104,,,
32,Information Technology Agency,3206,Office Systems Support,100,General Fund,5342,St Lighting Assess Rel Cost,12307,12085,,,
32,Information Technology Agency,3206,Office Systems Support,100,General Fund,5370,Cost Reimbursement From Library,,422195,422195,424717,424717
32,Information Technology Agency,3207,Systems Development and Support,100,General Fund,5342,St Lighting Assess Rel Cost,,,12085,102645,102645
32,Information Technology Agency,3207,Systems Development and Support,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,217150,,,
32,Information Technology Agency,3208,Enterprise and Distributed Systems and Operation,100,General Fund,5301,Reimb From Other Funds,4614,,,,
32,Information Technology Agency,3209,Network Engineering and Operations,100,General Fund,4600,Service To Lacers,17951,20000,40929,20000,40000
32,Information Technology Agency,3209,Network Engineering and Operations,100,General Fund,5126,Fire Insurance Proceeds,,,,219301,219301
32,Information Technology Agency,3209,Network Engineering and Operations,100,General Fund,5301,Reimb From Other Funds,82742,,589615,,
32,Information Technology Agency,3209,Network Engineering and Operations,100,General Fund,5339,Telecom Liq Damages Rel Cost,1716948,1267320,1236251,1404654,1404654
32,Information Technology Agency,3209,Network Engineering and Operations,100,General Fund,5369,Charge-Back - El Pueblo,13467,15000,15000,15000,15000
32,Information Technology Agency,3210,Data Engineering and Operations,100,General Fund,4600,Service To Lacers,29880,,,,
32,Information Technology Agency,3211,Business Applications and Web Services,100,General Fund,4595,Service To Airports,33500,,,,
32,Information Technology Agency,3211,Business Applications and Web Services,100,General Fund,4596,Service To Water & Power,42000,,286,,
32,Information Technology Agency,3211,Business Applications and Web Services,100,General Fund,4597,Service To Harbor,30000,,30000,,
32,Information Technology Agency,3211,Business Applications and Web Services,100,General Fund,5161,Reimbursement Of Expenditures,34600,,,,
32,Information Technology Agency,3211,Business Applications and Web Services,100,General Fund,5339,Telecom Liq Damages Rel Cost,,,441518,414905,414905
32,Information Technology Agency,3250,General Administration and Support,100,General Fund,3811,Reimb From Other Agencies,22215,500,12440,500,500
32,Information Technology Agency,3250,General Administration and Support,100,General Fund,5168,Reimb Of Prior Year Salary,306,,,,
32,Information Technology Agency,3250,General Administration and Support,100,General Fund,5188,Miscellaneous Revenue-Others,19784,,28217,,
32,Information Technology Agency,3250,General Administration and Support,100,General Fund,5339,Telecom Liq Damages Rel Cost,138955,,,,
33,El Pueblo de Los Angeles,3350,General Administration and Support,100,General Fund,5301,Reimb From Other Funds,250,,,,
35,Emergency Management,3501,Emergency Management,100,General Fund,3685,Emergency Management Assistnce,615363,639204,639204,645000,645000
35,Emergency Management,3501,Emergency Management,100,General Fund,5188,Miscellaneous Revenue-Others,68,200,,1000,1000
35,Emergency Management,3501,Emergency Management,100,General Fund,5301,Reimb From Other Funds,299,,30210,1000,128000
35,Emergency Management,3501,Emergency Management,100,General Fund,5328,Sewer Cons & Main Related Cost,123013,127365,127000,131614,131614
35,Emergency Management,3501,Emergency Management,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,27750,28000,,
35,Emergency Management,3501,Emergency Management,100,General Fund,5338,Stormwtr Pollu Abate Rel Cost,871,,,,
35,Emergency Management,3501,Emergency Management,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,88488,127365,127000,131614,131614
38,Fire,3803,Fire Suppression,100,General Fund,3811,Reimb From Other Agencies,2634037,300000,5200000,1300000,1300000
38,Fire,3803,Fire Suppression,100,General Fund,4114,Fire Services For San Fernando,2969721,2700000,2841311,2841311,2841311
38,Fire,3803,Fire Suppression,100,General Fund,4115,Fire Services Restitution,69313,130000,94000,130000,130000
38,Fire,3803,Fire Suppression,100,General Fund,4117,Miscellaneous-Fire Service,238559,290500,250000,290500,290500
38,Fire,3803,Fire Suppression,100,General Fund,4595,Service To Airports,23621482,24255000,29661188,29299904,29299904
38,Fire,3803,Fire Suppression,100,General Fund,4596,Service To Water & Power,1621432,1775395,2014034,1946797,1946797
38,Fire,3803,Fire Suppression,100,General Fund,4597,Service To Harbor,16617409,17197682,17984629,26632756,26632756
38,Fire,3805,Hazardous Materials Enforcement,100,General Fund,4120,Unified Program-Annual Fees,4848821,,5600000,5400000,5474833
38,Fire,3805,Hazardous Materials Enforcement,100,General Fund,4157,Underground Storage Tk-Plan Ck,415561,,480000,480000,480000
38,Fire,3806,Fire Prevention,100,General Fund,3177,Brush Removals,1240614,1100000,1100000,1100000,1100000
38,Fire,3806,Fire Prevention,100,General Fund,3282,Filming Permits,2036416,1725000,2100000,1720000,2000000
38,Fire,3806,Fire Prevention,100,General Fund,4111,Continuing Permits Section5704,3956594,3000000,3600000,3000000,3000000
38,Fire,3806,Fire Prevention,100,General Fund,4112,Non-Continuing Permits,2525136,2900000,2100000,2900000,2900000
38,Fire,3806,Fire Prevention,100,General Fund,4113,Fire Safety Off Cost Recovery,1498560,1500000,1500000,1500000,1500000
38,Fire,3806,Fire Prevention,100,General Fund,4116,Inspection Restitution,806938,1880000,1100000,1880000,1880000
38,Fire,3806,Fire Prevention,100,General Fund,4117,Miscellaneous-Fire Service,443037,539500,400000,539500,539500
38,Fire,3806,Fire Prevention,100,General Fund,4118,Fire Hydrant Instltn/Replcmnt,560110,500000,600000,500000,500000
38,Fire,3806,Fire Prevention,100,General Fund,4119,Non-Compliance Inspection Fees,67516,30000,24000,30000,30000
38,Fire,3806,Fire Prevention,100,General Fund,4120,Unified Program-Annual Fees,,5400000,,,
38,Fire,3806,Fire Prevention,100,General Fund,4121,High-Rise Inspection Fee,3490185,3600000,3600000,3600000,3600000
38,Fire,3806,Fire Prevention,100,General Fund,4122,Fire Sfty Clear Insp-Care Facil,43592,38000,54000,38000,38000
38,Fire,3806,Fire Prevention,100,General Fund,4123,Brush Clearance Restitution,1766194,1300000,1300000,1300000,1300000
38,Fire,3806,Fire Prevention,100,General Fund,4124,Brush Non-Compliance Fee,174829,130000,130000,130000,130000
38,Fire,3806,Fire Prevention,100,General Fund,4152,Cons Plan Checking,6039610,6000000,7000000,7000000,7000000
38,Fire,3806,Fire Prevention,100,General Fund,4157,Underground Storage Tk-Plan Ck,,480000,,,
38,Fire,3806,Fire Prevention,100,General Fund,4243,Spot Check Prog Cost Recovery,634780,550000,615000,550000,615000
38,Fire,3806,Fire Prevention,100,General Fund,5311,Reimb-Metro Rail Project,969784,200000,590000,200000,200000
38,Fire,3808,Emergency Medical Service,100,General Fund,3811,Reimb From Other Agencies,,,,,5800000
38,Fire,3808,Emergency Medical Service,100,General Fund,4451,Emergency Ambulance Services,71961589,75000000,77131000,77000000,78000000
38,Fire,3808,Emergency Medical Service,100,General Fund,4453,Ground Emergency Medical Transport,4827438,4000000,9404097,6229205,6229205
38,Fire,3808,Emergency Medical Service,100,General Fund,4595,Service To Airports,2624609,2586000,,,
38,Fire,3808,Emergency Medical Service,100,General Fund,4597,Service To Harbor,513940,515000,,,
38,Fire,3847,Training,100,General Fund,5301,Reimb From Other Funds,,,,,83750
38,Fire,3850,General Administration and Support,100,General Fund,4332,Bad Check Collection Fees,665,,315,,
38,Fire,3850,General Administration and Support,100,General Fund,4903,Interest Income-Other,20567,,,,
38,Fire,3850,General Administration and Support,100,General Fund,5121,Damage Claims & Settlements,2416,,269,,
38,Fire,3850,General Administration and Support,100,General Fund,5163,Reimb Empl Rel - Uflac,,200000,200000,200000,200000
38,Fire,3850,General Administration and Support,100,General Fund,5169,Jury Duty Reimbursement,32,,,,
38,Fire,3850,General Administration and Support,100,General Fund,5175,Collection Fee,4219,,59423,,
38,Fire,3850,General Administration and Support,100,General Fund,5188,Miscellaneous Revenue-Others,158450,200000,156000,200000,200000
38,Fire,3850,General Administration and Support,100,General Fund,5301,Reimb From Other Funds,1097673,300000,800000,300000,300000
38,Fire,3850,General Administration and Support,100,General Fund,5320,Reimb Prop F Fire Bond Fund,127404,124074,124074,,
38,Fire,3850,General Administration and Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,210323,,275039,,
38,Fire,3850,General Administration and Support,100,General Fund,5346,Related Cost Reimb Fr Grants,155993,,,,
39,Finance,3901,Revenue Management,100,General Fund,4327,Audit Serv To Outside Agencies,,5500,,,
39,Finance,3901,Revenue Management,100,General Fund,4332,Bad Check Collection Fees,,5000,,,
39,Finance,3901,Revenue Management,100,General Fund,4339,Miscellaneous Gov'T Services,,5000,,,
39,Finance,3901,Revenue Management,100,General Fund,4902,Interest On Pooled Invest-Gen Fund,15619234,,14990000,,16640000
39,Finance,3901,Revenue Management,100,General Fund,5122,Attorney Fees,16601,10000,117881,13000,13000
39,Finance,3901,Revenue Management,100,General Fund,5123,Accident Collections,203693,285000,170000,170000,170000
39,Finance,3901,Revenue Management,100,General Fund,5165,W&P Reim Utility User Tx Exemp,,49151,,,
39,Finance,3901,Revenue Management,100,General Fund,5171,City Atty Collection Services,90303,500000,50000,50000,50000
39,Finance,3901,Revenue Management,100,General Fund,5175,Collection Fee,400910,350000,350000,350000,350000
39,Finance,3901,Revenue Management,100,General Fund,5188,Miscellaneous Revenue-Others,206297,62000,125000,25000,725000
39,Finance,3901,Revenue Management,100,General Fund,5328,Sewer Cons & Main Related Cost,,390362,,,
39,Finance,3901,Revenue Management,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,35240,,,
39,Finance,3902,Treasury Services,100,General Fund,4595,Service To Airports,215494,469960,529560,559724,559724
39,Finance,3902,Treasury Services,100,General Fund,4596,Service To Water & Power,685863,1072785,1147366,1384583,1384583
39,Finance,3902,Treasury Services,100,General Fund,4597,Service To Harbor,234139,248572,311981,309628,309628
39,Finance,3902,Treasury Services,100,General Fund,4651,Miscellaneous Service Charges,2675176,2600000,3000000,3000000,3000000
39,Finance,3902,Treasury Services,100,General Fund,4657,St Improv Bond Serv Fees,1033,960,950,950,950
39,Finance,3902,Treasury Services,100,General Fund,4837,Escheatment-Unclaimed Mat Bond,,,58908,,
39,Finance,3902,Treasury Services,100,General Fund,5301,Reimb From Other Funds,,,402262,,
39,Finance,3902,Treasury Services,100,General Fund,5328,Sewer Cons & Main Related Cost,252997,,440775,395106,395106
39,Finance,3902,Treasury Services,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,162090,197330,,
39,Finance,3905,LATAX System Support,100,General Fund,4332,Bad Check Collection Fees,5454,,5000,5000,5000
39,Finance,3905,LATAX System Support,100,General Fund,4339,Miscellaneous Gov'T Services,5850,,5000,5000,5000
39,Finance,3906,Customer Service,100,General Fund,5165,W&P Reim Utility User Tx Exemp,44501,,35611,35611,35611
39,Finance,3909,Tax and Permit,100,General Fund,4327,Audit Serv To Outside Agencies,,,5500,5500,5500
39,Finance,3950,General Administration and Support,100,General Fund,5168,Reimb Of Prior Year Salary,18,,,,
39,Finance,3950,General Administration and Support,100,General Fund,5301,Reimb From Other Funds,,,13959,,
39,Finance,3999,Finance - Default Program,100,General Fund,4902,Interest On Pooled Invest-Gen Fund,,13500000,,,
40,General Services,4001,Custodial Services,100,General Fund,5168,Reimb Of Prior Year Salary,,,4000,,
40,General Services,4001,Custodial Services,100,General Fund,5301,Reimb From Other Funds,26961,,,,
40,General Services,4001,Custodial Services,100,General Fund,5370,Cost Reimbursement From Library,3055701,3565678,3575678,3739445,3739445
40,General Services,4002,Building Maintenance,100,General Fund,5301,Reimb From Other Funds,2249,,,,
40,General Services,4002,Building Maintenance,100,General Fund,5370,Cost Reimbursement From Library,4065406,3947187,3958187,4097667,4097667
40,General Services,4003,Construction Forces,100,General Fund,4595,Service To Airports,3150816,,6360000,,
40,General Services,4003,Construction Forces,100,General Fund,5301,Reimb From Other Funds,30161,,,,
40,General Services,4004,Real Estate Services,100,General Fund,4931,Lease & Rental Of City Properties,910679,811000,1000000,1000000,1000000
40,General Services,4004,Real Estate Services,100,General Fund,4933,Figueroa Plaza Revenue,6695589,3634000,1600000,5000661,5000661
40,General Services,4004,Real Estate Services,100,General Fund,4951,Oil Royalties & Rentals,188168,325000,150000,190000,190000
40,General Services,4004,Real Estate Services,100,General Fund,5126,Fire Insurance Proceeds,18983300,2458000,17958000,,
40,General Services,4004,Real Estate Services,100,General Fund,5141,Sale Of Surplus Property,1592976,,100000,100000,100000
40,General Services,4004,Real Estate Services,100,General Fund,5301,Reimb From Other Funds,30500,,,,
40,General Services,4004,Real Estate Services,100,General Fund,5370,Cost Reimbursement From Library,,239224,239224,239224,239224
40,General Services,4005,Parking Services,100,General Fund,5301,Reimb From Other Funds,553760,510000,510000,510000,510000
40,General Services,4005,Parking Services,100,General Fund,5361,Related Cost Reimb-Others,225559,,185000,204905,204905
40,General Services,4005,Parking Services,100,General Fund,5370,Cost Reimbursement From Library,,318118,318118,318118,318118
40,General Services,4007,Emergency Management and Special Services,100,General Fund,5370,Cost Reimbursement From Library,301587,,,,
40,General Services,4008,Fleet Services,100,General Fund,4595,Service To Airports,155786,220000,160000,155000,155000
40,General Services,4008,Fleet Services,100,General Fund,5301,Reimb From Other Funds,1362439,,356000,300000,300000
40,General Services,4008,Fleet Services,100,General Fund,5308,Helicopter Flight Reimb,1083586,880000,880000,880000,880000
40,General Services,4008,Fleet Services,100,General Fund,5325,Reimb-Multi Family Bulky Item,215806,221508,222000,222927,222927
40,General Services,4008,Fleet Services,100,General Fund,5328,Sewer Cons & Main Related Cost,1231950,1172497,1478000,1088362,1088362
40,General Services,4008,Fleet Services,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,406806,407000,,
40,General Services,4008,Fleet Services,100,General Fund,5338,Stormwtr Pollu Abate Rel Cost,106423,133227,133000,163713,163713
40,General Services,4008,Fleet Services,100,General Fund,5342,St Lighting Assess Rel Cost,103373,100816,102000,250552,250552
40,General Services,4008,Fleet Services,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,14217492,14533833,14564000,14553743,14553743
40,General Services,4008,Fleet Services,100,General Fund,5352,Street Damage Fee Rel Cost,,1308052,1308000,1458376,1458376
40,General Services,4008,Fleet Services,100,General Fund,5370,Cost Reimbursement From Library,61617,59013,59013,59013,59013
40,General Services,4009,Fuel and Environmental Compliance,100,General Fund,5161,Reimbursement Of Expenditures,1460183,,690000,345000,345000
40,General Services,4009,Fuel and Environmental Compliance,100,General Fund,5301,Reimb From Other Funds,310,,,,
40,General Services,4009,Fuel and Environmental Compliance,100,General Fund,5370,Cost Reimbursement From Library,,49417,49417,49417,49417
40,General Services,4010,Standards and Testing Services,100,General Fund,3242,B Permits,2300,200000,400000,400000,400000
40,General Services,4010,Standards and Testing Services,100,General Fund,4227,Laboratory Testing Fees,3685562,2900000,3800000,3600000,3600000
40,General Services,4010,Standards and Testing Services,100,General Fund,5304,Gas Tax Projects,625845,785253,785000,,
40,General Services,4010,Standards and Testing Services,100,General Fund,5311,Reimb-Metro Rail Project,,115884,115600,70843,70843
40,General Services,4010,Standards and Testing Services,100,General Fund,5328,Sewer Cons & Main Related Cost,335583,1335635,403000,1298191,1298191
40,General Services,4010,Standards and Testing Services,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,450706,450000,,
40,General Services,4010,Standards and Testing Services,100,General Fund,5340,Prop C Antigridlock Rel Cost,149125,136592,137000,179319,179319
40,General Services,4010,Standards and Testing Services,100,General Fund,5367,Measure R Traffic Relief Oh Reimb,340127,999004,999000,972361,972361
40,General Services,4011,Supply Management,100,General Fund,4597,Service To Harbor,,,202500,,
40,General Services,4011,Supply Management,100,General Fund,5142,Salvage Receipts,2121070,1375000,1700000,9800000,9800000
40,General Services,4011,Supply Management,100,General Fund,5188,Miscellaneous Revenue-Others,,,47288,100000,100000
40,General Services,4011,Supply Management,100,General Fund,5328,Sewer Cons & Main Related Cost,2303157,2141575,2764000,2207127,2207127
40,General Services,4011,Supply Management,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,427791,428000,,
40,General Services,4011,Supply Management,100,General Fund,5342,St Lighting Assess Rel Cost,204561,204131,203000,438666,438666
40,General Services,4011,Supply Management,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,1501128,1568061,1538000,1494628,1494628
40,General Services,4012,Mail Services,100,General Fund,4600,Service To Lacers,93148,50000,50000,50000,50000
40,General Services,4012,Mail Services,100,General Fund,4602,Charge-Back Pensions,37553,38000,38000,38000,38000
40,General Services,4012,Mail Services,100,General Fund,5328,Sewer Cons & Main Related Cost,113607,119556,136000,120722,120722
40,General Services,4012,Mail Services,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,4695,5000,,
40,General Services,4012,Mail Services,100,General Fund,5370,Cost Reimbursement From Library,,22300,22300,22300,22300
40,General Services,4050,General Administration and Support,100,General Fund,4228,Misc General Services Receipts,30,100,39000,10000,10000
40,General Services,4050,General Administration and Support,100,General Fund,4332,Bad Check Collection Fees,105,,,,
40,General Services,4050,General Administration and Support,100,General Fund,4339,Miscellaneous Gov'T Services,,,269327,,
40,General Services,4050,General Administration and Support,100,General Fund,5161,Reimbursement Of Expenditures,,550000,,,
40,General Services,4050,General Administration and Support,100,General Fund,5168,Reimb Of Prior Year Salary,7465,,,,
40,General Services,4050,General Administration and Support,100,General Fund,5188,Miscellaneous Revenue-Others,734442,100000,,300000,300000
40,General Services,4050,General Administration and Support,100,General Fund,5328,Sewer Cons & Main Related Cost,44315,64736,63490,63490,63490
40,General Services,4050,General Administration and Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,15681,16000,,
40,General Services,4050,General Administration and Support,100,General Fund,5361,Related Cost Reimb-Others,,,,21302,21302
40,General Services,4050,General Administration and Support,100,General Fund,5741,Other Financing Sources,469532,,,,
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5329,Rent Control Related Cost,275961,,514554,9096,9096
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,4872345,503495,,
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5334,Community Dev Tr Related Cost,310362,723599,357714,846187,846187
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5335,Community Svcs Adm Gr Rel Cost,31079,,50351,4596,4596
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5341,Home Invest Prtnrship Rel Cost,88020,466678,133294,651551,651551
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5344,Hsg Opp Persons W/ Aids Rel Cost,7193,,8481,191,191
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5346,Related Cost Reimb Fr Grants,53702,,85807,2087,2087
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5351,Code Enforcement Rel Cost,873249,,1674318,17099,17099
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5361,Related Cost Reimb-Others,149788,1062142,146319,549180,549180
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5363,Related Cost - Arra,7456,32961,11323,,
43,Housing and Community Investment,4301,Finance and Development,100,General Fund,5366,Federal Emerg Shelter Rel Cost,3495,,2937,64,64
43,Housing and Community Investment,4302,Affordable Housing Asset Management,100,General Fund,5329,Rent Control Related Cost,148654,,277178,8634,8634
